filename,num_distractors,size,colourbin,selected_cell,actual_cell,correct,selected_response
image_0.png,23,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_1.png,6,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_2.png,11,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_3.png,25,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_4.png,13,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_5.png,9,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_6.png,1,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_7.png,0,30,0,"(1, 1)","(1, 1)",True,"**Answer:**

Cell (1,1)"
image_8.png,3,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_9.png,1,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_10.png,11,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_11.png,16,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_12.png,8,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_13.png,20,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_14.png,15,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_15.png,1,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_16.png,8,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_17.png,5,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_18.png,7,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_19.png,20,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_20.png,5,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_21.png,22,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_22.png,16,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_23.png,23,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_24.png,18,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_25.png,20,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_26.png,4,30,0,"(1, 2)","(2, 1)",False,"Cell (1,2)."
image_27.png,22,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_28.png,23,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_29.png,13,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_30.png,11,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_31.png,11,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_32.png,10,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_33.png,10,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_34.png,5,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_35.png,17,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1). The sphere in question is the second sphere from the top left corner of the image."
image_36.png,24,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)"
image_37.png,1,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_38.png,3,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_39.png,9,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_40.png,7,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_41.png,8,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_42.png,6,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_43.png,16,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_44.png,14,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_45.png,11,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_46.png,12,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_47.png,8,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_48.png,10,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_49.png,21,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_50.png,9,30,0,"(1, 2)","(2, 2)",False,"Cell (1,2)."
image_51.png,12,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_52.png,8,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_53.png,14,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_54.png,13,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_55.png,9,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_56.png,18,30,0,"(1, 1)","(2, 1)",False,"Cell (1,1)."
image_57.png,18,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_58.png,5,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_59.png,19,30,0,"(4, 4)","(2, 2)",False,"Cell (4,4)."
image_60.png,17,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_61.png,11,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_62.png,20,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_63.png,18,30,0,"(2, 2)","(2, 1)",False,"Cell (2,2)."
image_64.png,2,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_65.png,23,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_66.png,14,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_67.png,13,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_68.png,17,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
image_69.png,15,30,0,"(1, 2)","(1, 1)",False,"Cell (1,2)."
image_70.png,23,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_71.png,8,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_72.png,16,30,0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_73.png,1,30,0,"(1, 1)","(2, 2)",False,"Cell (1,1)."
image_74.png,20,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_75.png,20,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_76.png,24,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_77.png,7,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_78.png,24,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_79.png,6,30,0,"(2, 1)","(1, 2)",False,"Cell (2,1)."
image_80.png,25,30,0,"(1, 2)","(2, 2)",False,"Cell (1,2)."
image_81.png,12,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_82.png,11,30,0,"(2, 2)","(1, 2)",False,"Cell (2,2)."
image_83.png,7,30,0,"(2, 2)","(2, 2)",True,"Cell (2,2)."
image_84.png,18,30,0,"(2, 1)","(2, 1)",True,"Cell (2,1)."
image_85.png,19,30,0,"(1, 1)","(1, 1)",True,"Cell (1,1)."
image_86.png,2,30,0,"(2, 1)","(1, 1)",False,"Cell (2,1)."
image_87.png,20,30,0,"(1, 2)","(1, 2)",True,"Cell (1,2)."
image_88.png,1,30,0,"(2, 1)","(2, 2)",False,"Cell (2,1)."
image_89.png,24,30,0,"(2, 2)","(1, 1)",False,"Cell (2,2)."
